commercial_ii,generic_ii
1,1
2,2
3,2
111,2
5,1
6,3
7,3
8,3
10,5
11,5
12,6
13,7
14,7
15,7
16,8
17,8
17,11
17,15
18,8
18,11
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,10
29,10
29,13
30,11
31,11
32,11
32,15
33,12
34,12
35,12
36,12
37,13
38,14
39,14
40,15
41,15
42,16
43,16
44,17
45,17
46,17
47,17
48,18
49,15
51,13
52,17
53,17
54,9
55,19
56,21
57,8
57,11
58,6
59,15
60,3
61,11
62,17
63,6
64,17
65,15
66,12
67,8
69,8
69,11
9,31
68,31
4,2
70,39
71,40
72,2
73,1
74,1
75,3
76,31
77,5
78,6
79,7
80,7
81,8
82,8
82,11
82,15
83,9
84,9
85,10
86,11
87,11
87,15
88,8
88,11
89,12
90,13
91,14
92,15
93,16
94,17
95,18
96,17
97,19
98,21
99,8
99,11
100,17
101,9
102,8
102,11
103,10
103,13
104,35
105,20
106,12
106,11
106,18
107,12
107,11
107,18
112,10
112,13
112,17
113,38
114,38
115,39
